Usuario_Id,Edad,Genero
11446,26,F
20524,31,F
15650,46,M
12543,24,F
17173,28,M
10233,25,M
16720,50,M
3473,39,M
10340,28,M
13715,30,M
12372,27,F
20510,26,M
4210,41,M
3435,36,M
4714,32,M
20521,62,F
204,42,M
10726,36,F
2605,28,M
4323,32,F
13707,53,M
16016,25,M
20551,28,F
14157,47,M
10313,17,M
13775,22,M
11462,20,F
13214,33,M
1075,32,M
16753,25,M
176,25,M
15557,34,F
17424,33,M
11432,30,M
12452,32,M
11077,19,M
10750,23,F
14154,41,M
14446,27,M
12045,26,M
12037,29,M
16054,39,M
1375,27,M
1106,42,M
4342,47,M
17113,27,F
16431,28,M
12012,32,M
2302,40,M
1513,24,M
12607,28,F
20601,21,M
2646,30,M
16247,25,F
12433,26,M
11757,29,M
11600,41,M
16654,44,M
20353,36,F
15323,24,M
16643,33,F
1130,21,F
5670,33,M
545,33,M
636,24,F
10753,63,M
10635,31,M
14374,19,F
17215,38,M
13431,56,M
4037,26,M
17140,25,F
5054,42,M
17245,23,M
11473,29,M
3006,34,M
3355,31,M
2153,45,M
7171,25,M
11705,25,F
7463,31,M
14504,36,M
16260,35,F
4711,29,M
12645,35,M
17724,30,M
531,35,F
13412,26,M
13506,29,F
17432,32,M
5450,27,F
2271,28,F
1623,26,M
15007,33,M
13040,33,M
3735,27,F
13426,27,F
11666,54,M
15265,54,F
652,23,M
14250,67,M
3055,23,F
366,33,M
5123,62,M
4262,29,M
5313,31,M
12532,27,F
4232,31,M
14006,21,M
20257,67,M
13701,43,M
11044,41,M
1747,48,M
11443,33,M
11250,36,M
1171,33,F
15441,28,M
20103,35,M
5255,34,M
4406,41,M
3424,32,M
11776,30,M
4012,31,M
1642,20,F
1471,29,F
11677,29,M
12205,29,M
15202,34,F
16172,36,M
17317,24,F
7425,26,M
1337,27,M
13734,33,M
12760,47,M
7213,29,M
7471,38,M
20527,58,M
2415,25,M
11542,30,M
14564,32,M
6256,34,M
7117,48,M
13244,29,F
1730,23,F
4034,43,M
13217,31,M
10605,30,M
13373,38,F
11663,38,M
6036,37,M
267,23,M
17036,33,M
10131,29,M
11465,31,F
660,27,M
20265,42,F
14663,32,F
14360,22,M
1414,26,M
13613,33,M
14622,37,M
5046,36,M
20570,29,F
2203,19,M
4312,22,M
1007,29,M
421,24,M
14201,29,M
17325,32,F
17330,27,F
17116,34,M
5511,51,M
14537,25,M
12345,35,M
16701,26,M
16541,59,M
7730,25,F
10175,26,M
10054,37,M
6017,36,M
3231,29,M
5574,50,M
13673,32,M
2552,30,F
17550,33,M
12254,26,M
1535,33,M
16222,25,M
12744,24,F
10566,54,F
11622,26,M
13327,28,M
13172,35,M
20111,43,F
2010,40,M
5461,35,M
14757,45,M
402,33,M
12741,39,M
10742,21,F
4042,38,F
12072,36,M
4755,42,M
7604,22,F
1505,33,F
11022,19,M
6154,57,M
4604,49,M
15463,29,M
16126,29,M
13002,29,M
10203,32,F
13657,27,M
4411,26,M
3250,25,M
1516,25,M
4546,50,F
4645,30,M
11275,44,M
7766,48,M
16764,28,F
12505,41,M
