Date,Count
2016-04-04,1898
2016-04-05,2217
2016-04-06,2312
2016-04-07,2288
2016-04-08,2212
2016-04-09,1310
2016-04-10,983
2016-04-11,2223
2016-04-12,2315
2016-04-13,2275
2016-04-14,2361
2016-04-15,2149
2016-04-16,1357
2016-04-17,1005
2016-04-18,2318
2016-04-19,2399
2016-04-20,2265
2016-04-21,2344
2016-04-22,2227
2016-04-23,1387
2016-04-24,1133
2016-04-25,2236
2016-04-26,2304
2016-04-27,2372
2016-04-28,2299
2016-04-29,2265
2016-04-30,1394
2016-05-01,1170
2016-05-02,2378
2016-05-03,2373
2016-05-04,2449
2016-05-05,2283
2016-05-06,2127
2016-05-07,1295
2016-05-08,991
2016-05-09,2313
2016-05-10,2107
2016-05-11,2404
2016-05-12,2349
2016-05-13,2232
2016-05-14,1324
2016-05-15,1074
2016-05-16,2328
2016-05-17,2395
2016-05-18,2459
2016-05-19,2327
2016-05-20,2173
2016-05-21,1317
2016-05-22,1096
2016-05-23,2454
2016-05-24,2465
2016-05-25,2392
2016-05-26,2374
2016-05-27,2202
2016-05-28,1339
2016-05-29,1161
2016-05-30,2367
2016-05-31,2517
2016-06-01,2429
2016-06-02,2254
2016-06-03,2206
2016-06-04,1405
2016-06-05,1057
2016-06-06,2203
2016-06-07,2419
2016-06-08,2379
2016-06-09,2383
2016-06-10,2281
2016-06-11,1450
2016-06-12,992
2016-06-13,2250
2016-06-14,2200
2016-06-15,2379
2016-06-16,2379
2016-06-17,2198
2016-06-18,1314
2016-06-19,1017
2016-06-20,2334
2016-06-21,2213
2016-06-22,2369
2016-06-23,2235
2016-06-24,2134
2016-06-25,1264
2016-06-26,1196
2016-06-27,2113
2016-06-28,2457
2016-06-29,2420
2016-06-30,2370
2016-07-01,2268
2016-07-02,1314
2016-07-03,1099
2016-07-04,2263
2016-07-05,2082
2016-07-06,2237
2016-07-07,2207
2016-07-08,2250
2016-07-09,1492
2016-07-10,1177
2016-07-11,2023
2016-07-12,2236
2016-07-13,2252
2016-07-14,2067
2016-07-15,2143
2016-07-16,1449
2016-07-17,964
2016-07-18,2242
2016-07-19,2342
2016-07-20,2177
2016-07-21,2206
2016-07-22,1996
2016-07-23,1280
2016-07-24,1107
2016-07-25,2175
2016-07-26,2092
2016-07-27,1929
2016-07-28,1727
2016-07-29,1976
2016-07-30,1360
2016-07-31,1192
2016-08-01,2216
2016-08-02,2249
2016-08-03,2190
2016-08-04,2233
2016-08-05,2033
2016-08-06,1224
2016-08-07,1087
2016-08-08,1947
2016-08-09,2236
2016-08-10,2162
2016-08-11,1911
2016-08-12,2112
2016-08-13,1429
2016-08-14,1148
2016-08-15,2352
2016-08-16,2451
2016-08-17,2436
2016-08-18,2833
2016-08-19,3292
2016-08-20,2065
2016-08-21,1492
2016-08-22,2788
2016-08-23,3362
2016-08-24,2929
2016-08-25,3553
2016-08-26,3595
2016-08-27,2175
2016-08-28,1995
2016-08-29,3734
2016-08-30,3836
2016-08-31,4153
2016-09-01,3567
2016-09-02,4024
2016-09-03,2461
2016-09-04,2103
2016-09-05,3268
2016-09-06,4213
2016-09-07,4351
2016-09-08,4208
2016-09-09,3945
2016-09-10,2546
2016-09-11,2531
2016-09-12,4153
2016-09-13,4377
2016-09-14,4459
2016-09-15,4052
2016-09-16,1888
2016-09-17,2209
2016-09-18,2344
2016-09-19,3972
2016-09-20,4448
2016-09-21,4504
2016-09-22,4663
2016-09-23,4160
2016-09-24,2599
2016-09-25,2257
2016-09-26,4424
2016-09-27,4418
2016-09-28,4019
2016-09-29,4196
2016-09-30,4199
2016-10-01,2626
2016-10-02,1902
2016-10-03,4620
2016-10-04,4855
2016-10-05,4978
2016-10-06,4888
2016-10-07,4638
2016-10-08,3053
2016-10-09,2301
2016-10-10,4772
2016-10-11,5036
2016-10-12,3747
2016-10-13,4939
2016-10-14,4706
2016-10-15,2898
2016-10-16,2434
2016-10-17,4640
2016-10-18,5366
2016-10-19,5122
2016-10-20,5009
2016-10-21,4954
2016-10-22,3010
2016-10-23,2391
2016-10-24,4982
2016-10-25,5227
2016-10-26,5341
2016-10-27,5157
2016-10-28,4985
2016-10-29,3078
2016-10-30,2651
2016-10-31,5185
2016-11-01,5472
2016-11-02,3915
2016-11-03,5366
2016-11-04,5103
2016-11-05,3213
2016-11-06,2811
2016-11-07,5482
2016-11-08,5366
2016-11-09,5322
2016-11-10,5194
2016-11-11,4780
2016-11-12,2077
2016-11-13,1006
2016-11-14,5102
2016-11-15,5683
2016-11-16,5609
2016-11-17,5581
2016-11-18,5098
2016-11-19,2883
2016-11-20,2287
2016-11-21,2565
2016-11-22,5326
2016-11-23,5391
2016-11-24,5407
2016-11-25,5029
2016-11-26,3140
2016-11-27,2561
2016-11-28,5335
2016-11-29,5491
2016-11-30,5545
2016-12-01,5503
2016-12-02,4992
2016-12-03,3030
2016-12-04,2365
2016-12-05,4882
2016-12-06,5208
2016-12-07,5227
2016-12-08,5030
2016-12-09,4733
2016-12-10,2946
2016-12-11,2372
2016-12-12,4588
2016-12-13,5060
2016-12-14,5053
2016-12-15,4947
2016-12-16,4431
2016-12-17,2777
2016-12-18,2222
2016-12-19,4033
2016-12-20,4145
2016-12-21,3987
2016-12-22,3706
2016-12-23,3352
2016-12-24,1672
2016-12-25,1059
2016-12-26,2745
2016-12-27,3206
2016-12-28,3250
2016-12-29,3314
2016-12-30,3049
2016-12-31,1894
2017-01-01,1350
2017-01-02,4112
2017-01-03,4906
2017-01-04,5220
2017-01-05,5427
2017-01-06,5167
2017-01-07,3551
2017-01-08,2853
2017-01-09,5685
2017-01-10,5856
2017-01-11,5903
2017-01-12,5913
2017-01-13,5798
2017-01-14,3526
2017-01-15,2952
2017-01-16,6368
2017-01-17,6941
2017-01-18,6827
2017-01-19,6902
2017-01-20,6418
2017-01-21,3786
2017-01-22,3112
2017-01-23,6636
2017-01-24,7033
2017-01-25,6955
2017-01-26,6979
2017-01-27,6496
2017-01-28,4027
2017-01-29,3204
2017-01-30,7122
2017-01-31,6336
2017-02-01,7059
2017-02-02,7027
2017-02-03,6635
2017-02-04,3721
2017-02-05,3066
2017-02-06,3296
2017-02-07,7469
2017-02-08,7545
2017-02-09,7398
2017-02-10,7227
2017-02-11,4204
2017-02-12,3738
2017-02-13,7257
2017-02-14,7659
2017-02-15,7801
2017-02-16,7574
2017-02-17,7131
2017-02-18,4354
2017-02-19,3450
2017-02-20,7334
2017-02-21,7652
2017-02-22,7672
2017-02-23,7603
2017-02-24,7112
2017-02-25,4259
2017-02-26,3507
2017-02-27,7460
2017-02-28,7809
2017-03-01,7913
2017-03-02,7845
2017-03-03,7392
2017-03-04,4521
2017-03-05,3782
2017-03-06,7675
2017-03-07,8218
2017-03-08,7948
2017-03-09,7806
2017-03-10,7575
2017-03-11,4330
2017-03-12,3473
2017-03-13,7739
2017-03-14,7926
2017-03-15,8239
2017-03-16,8130
2017-03-17,7423
2017-03-18,4115
2017-03-19,3148
2017-03-20,3466
2017-03-21,7935
2017-03-22,8274
2017-03-23,8191
2017-03-24,7653
2017-03-25,4576
2017-03-26,3999
2017-03-27,7978
2017-03-28,7970
2017-03-29,8062
2017-03-30,7927
2017-03-31,7565
2017-04-01,4442
2017-04-02,3167
2017-04-03,7663
2017-04-04,8131
2017-04-05,8236
2017-04-06,7857
2017-04-07,7407
2017-04-08,4280
2017-04-09,3242
2017-04-10,5710
2017-04-11,5793
2017-04-12,5325
2017-04-13,2995
2017-04-14,2352
2017-04-15,2460
2017-04-16,3022
2017-04-17,5982
2017-04-18,6439
2017-04-19,6152
2017-04-20,6200
2017-04-21,6109
2017-04-22,4103
2017-04-23,3520
2017-04-24,7765
2017-04-25,8449
2017-04-26,8022
2017-04-27,8017
2017-04-28,7818
2017-04-29,4397
2017-04-30,3339
2017-05-01,3082
2017-05-02,7869
2017-05-03,8167
2017-05-04,8213
2017-05-05,6928
2017-05-06,4451
2017-05-07,3634
2017-05-08,8165
2017-05-09,8340
2017-05-10,7326
2017-05-11,7983
2017-05-12,7748
2017-05-13,4564
2017-05-14,3611
2017-05-15,7073
2017-05-16,8400
2017-05-17,8312
2017-05-18,8190
2017-05-19,7549
2017-05-20,4669
2017-05-21,3388
2017-05-22,7812
2017-05-23,8169
2017-05-24,8136
2017-05-25,8199
2017-05-26,7158
2017-05-27,4714
2017-05-28,4026
2017-05-29,7446
2017-05-30,8106
2017-05-31,8234
2017-06-01,7975
2017-06-02,7340
2017-06-03,4594
2017-06-04,3622
2017-06-05,7555
2017-06-06,7998
2017-06-07,6907
2017-06-08,7549
2017-06-09,7269
2017-06-10,4056
2017-06-11,3870
2017-06-12,7808
2017-06-13,8120
2017-06-14,8151
2017-06-15,8075
2017-06-16,7342
2017-06-17,4605
2017-06-18,3399
2017-06-19,7727
2017-06-20,8108
2017-06-21,7977
2017-06-22,8241
2017-06-23,7359
2017-06-24,4387
2017-06-25,3660
2017-06-26,8034
2017-06-27,8115
2017-06-28,7585
2017-06-29,8032
2017-06-30,7555
2017-07-01,4765
2017-07-02,3671
2017-07-03,7361
2017-07-04,8569
2017-07-05,8291
2017-07-06,8574
2017-07-07,7795
2017-07-08,4550
2017-07-09,4509
2017-07-10,7372
2017-07-11,8073
2017-07-12,8340
2017-07-13,7109
2017-07-14,7694
2017-07-15,5039
2017-07-16,3868
2017-07-17,8149
2017-07-18,7247
2017-07-19,8389
2017-07-20,8276
2017-07-21,7191
2017-07-22,4221
2017-07-23,4056
2017-07-24,7188
2017-07-25,8050
2017-07-26,7241
2017-07-27,7682
2017-07-28,6610
2017-07-29,4785
2017-07-30,4093
2017-07-31,7688
2017-08-01,8302
2017-08-02,8023
2017-08-03,7394
2017-08-04,6889
2017-08-05,4575
2017-08-06,3931
2017-08-07,7913
2017-08-08,8222
2017-08-09,8201
2017-08-10,7582
2017-08-11,7591
2017-08-12,4760
2017-08-13,4272
2017-08-14,8081
2017-08-15,9445
2017-08-16,9277
2017-08-17,9425
2017-08-18,8495
2017-08-19,5150
2017-08-20,4309
2017-08-21,9075
2017-08-22,9181
2017-08-23,9568
2017-08-24,8415
2017-08-25,7201
2017-08-26,5276
2017-08-27,4431
2017-08-28,8431
2017-08-29,8036
2017-08-30,7529
2017-08-31,7243
2017-09-01,8105
2017-09-02,5236
2017-09-03,4590
2017-09-04,9050
2017-09-05,8575
2017-09-06,8918
2017-09-07,9414
2017-09-08,9099
2017-09-09,5738
2017-09-10,4542
2017-09-11,9580
2017-09-12,9972
2017-09-13,10061
